RHIZO 2016a	Operator	Analysis Date Time	ImageFileName	ImageAcqDeviceAndSoftwareInfo DateTimeModified	AnalysedRegionArea(cm2)	AnalysedRegionWidth(cm)	AnalysedRegionHeight(cm)	Left Top Right Bottom  NExclusions	DevOrder Criteria	ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]	PxClassif	Filters	Fractal PxMin PxMax	SoilVol(m3)	Length(cm)	RatioHypLeafToRootLen	ProjArea(cm2)	RatioHypLeafToRootArea	SurfArea(cm2)		AvgDiam(mm)		LenPerVol(cm/m3)		RootVolume(cm3)	FractalDimension	FractalDeviation	Tips	Forks	Crossings	NofLinks	Altitude	ExternalPathLength	LinkAvgLength(cm)	LinkAvgProjArea(cm2)	LinkAvgSurfArea(cm2)	LinkAvgDiam(mm)	LinkAvgBrAngle(deg)	NofNodules	HypocotylLeafArea	HypocotylLeafLength	NAxis	Main NAxis	Main TotLength	Lateral NAxis	Lateral TotLength	Tertiary NAxis	Tertiary TotLength	NSeedlings	NumberOfClasses	ClassBoundaries	0<.L.<=0.5000000	0.5000000<.L.<=1.0000000	1.0000000<.L.<=1.5000000	1.5000000<.L.<=2.0000000	2.0000000<.L.<=2.5000000	2.5000000<.L.<=3.0000000	3.0000000<.L.<=3.5000000	3.5000000<.L.<=4.0000000	4.0000000<.L.<=4.5000000	.L.>4.5000000	0<.SA.<=0.5000000	0.5000000<.SA.<=1.0000000	1.0000000<.SA.<=1.5000000	1.5000000<.SA.<=2.0000000	2.0000000<.SA.<=2.5000000	2.5000000<.SA.<=3.0000000	3.0000000<.SA.<=3.5000000	3.5000000<.SA.<=4.0000000	4.0000000<.SA.<=4.5000000	.SA.>4.5000000	0<.PA.<=0.5000000	0.5000000<.PA.<=1.0000000	1.0000000<.PA.<=1.5000000	1.5000000<.PA.<=2.0000000	2.0000000<.PA.<=2.5000000	2.5000000<.PA.<=3.0000000	3.0000000<.PA.<=3.5000000	3.5000000<.PA.<=4.0000000	4.0000000<.PA.<=4.5000000	.PA.>4.5000000	0<.V.<=0.5000000	0.5000000<.V.<=1.0000000	1.0000000<.V.<=1.5000000	1.5000000<.V.<=2.0000000	2.0000000<.V.<=2.5000000	2.5000000<.V.<=3.0000000	3.0000000<.V.<=3.5000000	3.5000000<.V.<=4.0000000	4.0000000<.V.<=4.5000000	.V.>4.5000000	0<.T.<=0.5000000	0.5000000<.T.<=1.0000000	1.0000000<.T.<=1.5000000	1.5000000<.T.<=2.0000000	2.0000000<.T.<=2.5000000	2.5000000<.T.<=3.0000000	3.0000000<.T.<=3.5000000	3.5000000<.T.<=4.0000000	4.0000000<.T.<=4.5000000	.T.>4.5000000
ELTR_CONC_WR_41_LANA	DKEYES	11/21/19 14:11	"ELTR_TMC_49,50,51,59_WR_40,41_PRY_50,59_FS_49_SL_54_C_56_DNF_58_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	10.4678	6.7436	2.5703	477 303 1536 708  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.4922		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_42_LANA	DKEYES	11/21/19 14:25	"ELTR_ WR_42,37,38,43,46_TMC_54_DNF_43,57_C_49_FS_43,50,57_SL_38_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	14.9728	8.0808	2.9511	162 5076 1431 5541  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.681		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_43_LANA	DKEYES	11/21/19 14:25	"ELTR_ WR_42,37,38,43,46_TMC_54_DNF_43,57_C_49_FS_43,50,57_SL_38_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	18.4092	8.9596	2.3609	153 936 1560 1308  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		1.267		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_44_LANA	DKEYES	11/21/19 14:19	"ELTR_TMC_53_PRY_58,48_WR_44,45,48_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	15.3484	7.928	2.456	1449 615 2694 1002  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.6266		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_45_LANA	DKEYES	11/21/19 14:19	"ELTR_TMC_53_PRY_58,48_WR_44,45,48_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	18.8779	9.5709	2.5703	1332 1914 2835 2319  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		1.0252		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_46_LANA	DKEYES	11/21/19 14:25	"ELTR_ WR_42,37,38,43,46_TMC_54_DNF_43,57_C_49_FS_43,50,57_SL_38_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	29.4744	12.532	3.1224	1518 5061 3486 5553  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		1.8776		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_47_LANA	DKEYES	11/21/19 14:42	"ELTR_CULT_FS_54,_RV_43,44,47,48,52,54,DNF_40,42,45,48,56,60, SL-37,40,46,47,48,57.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	7.3359	6.8264	1.9293	2962 5616 4034 5920  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.5685		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_48_LANA	DKEYES	11/21/19 14:19	"ELTR_TMC_53_PRY_58,48_WR_44,45,48_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	22.788	10.3542	3.0272	1245 3351 2871 3828  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.964		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_49_LANA	DKEYES	11/21/19 14:16	"ELTR_DNF_49,46,41,59,53_WR_49,50,51_SL_45,60_TMC_52_RV_41,42,49,50,51_PRY_51_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	14.4099	7.8134	2.2847	822 3669 2049 4029  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.8685		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
ELTR_CONC_WR_50_LANA	DKEYES	11/21/19 14:16	"ELTR_DNF_49,46,41,59,53_WR_49,50,51_SL_45,60_TMC_52_RV_41,42,49,50,51_PRY_51_LEAF.tif"	Regent Instruments Inc.  WinRHIZO Reg 2016a 	12.932	7.6224	2.1514	762 3042 1959 3381  0	MAG ANG DIAM LEN	Grey Intr cm 0.006368 0.006346 Scanner.Cal	GreyThdMan-75	Smooth Off Area Off LWRatio Off	Off	1	0		0.6447		0		0		0		0			0	0	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 																																																		
